iso3,name,latitude,longitude,landlocked,region,subregion,gdp_per_capita,trade_share,urbanization,agriculture_share,population,dist_equator,tropical,dist_equator_sq,log_gdp,log_population,log_trade,agri_x_landlocked,trade_x_urban,region_encoded,high_income,cluster
SAU,Saudi Arabia,25.0,45.0,0,Asia,Western Asia,29566.7933827436,56.7938204886513,83.6394643268678,2.45384656461481,30063799,25.0,0,625.0,10.294407165395246,17.21883231487594,4.05688185800179,0.0,4750.204722747084,2,1,1
BWA,Botswana,-22.0,24.0,1,Africa,Southern Africa,7172.08956480028,83.0929813601175,66.3271694845464,2.08342949351655,2332083,22.0,1,484.0,8.877952322767555,14.662272417585871,4.431923107611813,2.08342949351655,5511.322257648769,0,0,1
COM,Comoros,-12.16666666,44.25,0,Africa,Eastern Africa,1510.23218151592,42.2680785372908,31.7287584068243,35.6200979800592,786578,12.16666666,1,148.02777761555558,7.320018680582039,13.575447170116817,3.7674151469020805,0.0,1341.1136522303752,0,0,0
BLZ,Belize,17.25,-88.75,0,Americas,Central America,6171.61449761423,102.441856907677,42.9077622153323,6.5560913222365,385829,17.25,1,297.5625,8.727715751651314,12.863149545109835,4.639009685846143,0.0,4395.550837091701,1,0,1
KHM,Cambodia,13.0,105.0,0,Asia,South-Eastern Asia,2225.87705485686,115.736679072448,39.5830241256026,15.4385065177157,16481304,13.0,1,169.0,7.707906298889181,16.61773720552888,4.759920792158817,0.0,4581.207759941834,2,0,0
MRT,Mauritania,20.0,-12.0,0,Africa,Western Africa,1767.072710621,93.4866941351317,56.0596215779146,19.957882454072,4467708,20.0,1,400.0,7.477079620664377,15.312386083409804,4.548459021783213,0.0,5240.828695785731,0,0,0
CPV,Cape Verde,16.5388,-23.0418,0,Africa,Western Africa,4380.78117331128,103.602656463726,71.6254285086577,4.437360866953,514104,16.5388,1,273.53190543999995,8.384982337539077,13.150180858600761,4.650168947711074,0.0,7420.584663849631,0,0,1
MHL,Marshall Islands,9.0,168.0,0,Oceania,Micronesia,5292.33985502306,153.007728638901,76.9422712042154,18.2091455560326,44007,9.0,1,81.0,8.574015743698697,10.692103991155873,5.037002787121245,0.0,11772.762153275316,4,0,1
NAM,Namibia,-22.0,17.0,0,Africa,Southern Africa,4731.9210318831,82.9011507426355,48.0019807724839,7.08397673847435,2650494,22.0,1,484.0,8.462086536853176,14.79025659568361,4.42963932902434,0.0,3979.419443964778,0,0,1
IRN,Iran,32.0,53.0,0,Asia,Southern Asia,3997.4935449585,48.5917712137038,75.2038879394531,11.8081014676882,87051648,32.0,0,1024.0,8.2934228299372,18.28201215564775,3.903824917017945,0.0,3654.2901171349235,2,0,1
AZE,Azerbaijan,40.5,47.5,1,Asia,Western Asia,4805.75371765917,85.8181454084561,58.1308191977779,5.69538024963307,10024283,40.5,0,1640.25,8.477569170218306,16.120521007402136,4.463815648303232,5.69538024963307,4988.679094627576,2,0,1
NER,Niger,16.0,8.0,1,Africa,Western Africa,561.691304349698,37.1025664250801,16.813146499685,36.9919203931409,22947757,16.0,1,256.0,6.330952418467333,16.948730755489738,3.640281640102379,36.9919203931409,623.8108848191657,0,0,0
BFA,Burkina Faso,13.0,-2.0,1,Africa,Western Africa,764.853077774946,60.4086928753226,26.1187254401157,18.2205245524421,20961952,13.0,1,169.0,6.6396837601854255,16.8582195428518,4.117551402905893,18.2205245524421,1577.7980634068244,0,0,0
LUX,Luxembourg,49.75,6.16666666,1,Europe,Western Europe,112696.649059674,382.66078058442,93.2589839734767,0.214828063048275,620001,49.75,0,2475.0625,11.632454966308753,13.3374763699232,5.949758778279494,0.214828063048275,35686.55560380051,3,1,2
IDN,Indonesia,-5.0,120.0,0,Asia,South-Eastern Asia,4106.94856160358,37.6277775357108,55.7382049560547,12.7126026577522,272489381,5.0,1,25.0,8.320435589311186,19.42311020250093,3.653971642942152,0.0,2097.3047763262794,2,0,0
LBN,Lebanon,33.83333333,35.83333333,0,Asia,Western Asia,8905.88005497437,62.98091601016,89.4986743521503,3.16909985150245,5794594,33.83333333,0,1144.694444218889,9.094467017901259,15.572435971904751,4.158584851551737,0.0,5636.708492393439,2,0,1
TUR,Turkey,39.0,35.0,0,Asia,Western Asia,9395.23378001368,62.5784589326239,88.6618152857124,6.6541535628227,82579440,39.0,0,1521.0,9.147957794988077,18.229271297096247,4.152274716947696,0.0,5548.319766748839,2,0,1
TLS,Timor-Leste,-8.83333333,125.91666666,0,Asia,South-Eastern Asia,1562.36458068032,70.6142431890513,29.1148755245217,14.1291559454173,1300945,8.83333333,1,78.0277777188889,7.353955709490042,14.078601481428079,4.2712939814045905,0.0,2055.9249007075327,2,0,0
ZWE,Zimbabwe,-20.0,30.0,1,Africa,Southern Africa,2184.32923855469,46.1065442675515,36.1837638266364,22.7056524805476,15271368,20.0,1,400.0,7.689064075757097,16.541490260608427,3.852411935479907,22.7056524805476,1668.30830863944,0,0,0
ZAF,South Africa,-29.0,24.0,0,Africa,Southern Africa,6533.71121032856,53.8979964081406,63.4127255007908,1.9503211452698,59587885,29.0,0,841.0,8.784730393193524,17.90296283956098,4.00547685255153,0.0,3417.8188512720285,0,0,1
ARM,Armenia,40.0,45.0,1,Asia,Western Asia,4597.22887399548,97.847004865327,65.0047033570428,11.5256107379588,2962500,40.0,0,1600.0,8.433208982253502,14.901544064425524,4.593573249363213,11.5256107379588,6360.515525645705,2,0,1
IRL,Ireland,53.0,-8.0,0,Europe,Northern Europe,81827.6688873996,257.652772910421,63.2737009154127,0.953896616119834,4976456,53.0,0,2809.0,11.312370715854257,15.420228549073858,5.555486517097339,0.0,16302.644493160724,3,1,2
NOR,Norway,62.0,10.0,0,Europe,Northern Europe,76430.5889473338,70.8958205272987,82.4935894878281,1.78246102169707,5347896,62.0,0,3844.0,11.244138273916175,15.492213770492821,4.275218134070808,0.0,5848.4507149817155,3,1,1
KEN,Kenya,1.0,38.0,0,Africa,Eastern Africa,1960.40808854893,31.759461841481,31.1895566421135,20.8611638110686,51202827,1.0,1,1.0,7.580907938995525,17.751305303329204,3.4891918315447192,0.0,990.563534027914,0,0,0
BMU,Bermuda,32.33333333,-64.75,0,Americas,North America,115798.040775578,77.5601016506443,100.0,0.220961505173123,64107,32.33333333,0,1045.444444228889,11.659602924941444,11.068308841314574,4.363863957969054,0.0,7756.01016506443,1,1,1
ESP,Spain,40.0,-4.0,0,Europe,Southern Europe,29786.5245689007,66.3662250440692,79.6349761108307,2.51980122994951,47118501,40.0,0,1600.0,10.301811374547727,17.668176284407693,4.210143780213831,0.0,5285.072745950465,3,1,1
NLD,Netherlands,52.5,5.75,0,Europe,Western Europe,53554.9007491475,160.676671884999,93.8898028856479,1.7588069903961,17344874,52.5,0,2756.25,10.888462588946103,16.66880757401829,5.085598488302841,0.0,15085.901051604478,3,1,1
NIC,Nicaragua,13.0,-85.0,0,Americas,Central America,1958.62051528095,94.0422159246213,58.5405671448072,15.5297840677071,6483657,13.0,1,169.0,7.579995685693672,15.684795260993692,4.554321171047718,0.0,5505.28465578175,1,0,0
LSO,Lesotho,-29.5,28.5,1,Africa,Southern Africa,1082.05706777516,140.51663349168,38.6040920446259,4.46380208822172,2209405,29.5,0,870.25,6.986619200876163,14.608233806475594,4.952417261352645,4.46380208822172,5424.517053113777,0,0,1
EGY,Egypt,27.0,30.0,0,Africa,Northern Africa,2962.98892023003,41.1240171551108,42.4812027332648,10.6971354538956,107553158,27.0,0,729.0,7.993953808190951,18.493495776333862,3.7406180567709217,0.0,1746.9977099725215,0,0,0
GMB,Gambia,13.46666666,-16.56666666,0,Africa,Western Africa,738.186751987483,55.9979116186993,61.643210849607,20.0040458725555,2456844,13.46666666,1,181.35111093155555,6.604196844061903,14.714388157424118,4.043014628894919,0.0,3451.8910730491384,0,0,0
BRA,Brazil,-10.0,-55.0,0,Americas,South America,9029.83304401079,28.8902578697354,86.6797991084296,4.2050140951087,207455459,10.0,1,100.0,9.108289157204757,19.15042721917157,3.3975326035498794,0.0,2504.201748339392,1,0,1
AUS,Australia,-27.0,133.0,0,Oceania,Australia and New Zealand,55194.7585097428,46.0016827052171,87.3019647888406,2.12424911197662,25334826,27.0,0,729.0,10.918623273223075,17.04769052889935,3.8501834033078355,0.0,4016.0372837582813,4,1,1
MDG,Madagascar,-20.0,47.0,0,Africa,Eastern Africa,499.818837622534,62.6013230457128,30.3046972370204,22.9562520100657,28219554,20.0,1,400.0,6.214245708011786,17.155525699870005,4.152634272735252,0.0,1897.1141415372342,0,0,0
GBR,United Kingdom,54.0,-2.0,0,Europe,Northern Europe,43158.7411267323,65.0035664177054,82.6699420738913,0.576929649470186,66631000,54.0,0,2916.0,10.672640251354759,18.014680492680636,4.189708777198399,0.0,5373.841070348051,3,1,1
PRT,Portugal,39.5,-8.0,0,Europe,Southern Europe,23343.3628970034,86.7709889083586,61.114927250613,1.99991845769704,10286263,39.5,0,1560.25,10.058067978452309,16.146319873724327,4.474731023583491,0.0,5303.002674598084,3,1,1
GRL,Greenland,72.0,-40.0,0,Americas,North America,53309.2035905065,92.1907515607492,87.0217895507812,18.4763686569553,56225,72.0,0,5184.0,10.883864270491307,10.937116776827516,4.534648484586905,0.0,8022.60418084787,1,1,1
TKM,Turkmenistan,40.0,60.0,1,Asia,Central Asia,5998.0017434754,44.2857594037204,47.0494562466485,10.8113571045068,6803944,40.0,0,1600.0,8.699181649985038,15.733013002011344,3.812992621118136,10.8113571045068,2083.620899414945,2,0,0
SLB,Solomon Islands,-8.0,159.0,0,Oceania,Melanesia,2223.65890942466,82.9985659020552,27.275106750276,32.6714892678456,728147,8.0,1,64.0,7.7069092755439375,13.498258229872025,4.430799726102994,0.0,2263.7947450983734,4,0,0
RWA,Rwanda,-2.0,30.0,1,Africa,Eastern Africa,810.051412137354,57.9756628637954,22.9711026997362,23.560629300383,12776103,2.0,1,4.0,6.697097717426748,16.36308703083572,4.077124864972759,23.560629300383,1331.7649057295262,0,0,0
PAN,Panama,9.0,-80.0,0,Americas,Central America,16477.9066268111,80.4286505707227,65.752985396379,2.45508076979221,4234700,9.0,1,81.0,9.709775770322953,15.258823045306487,4.399727183693966,0.0,5288.423886427199,1,1,1
BHS,Bahamas,25.0343,-77.3963,0,Americas,Caribbean,33640.3369861278,68.7866234842208,81.8257463283204,0.53475935828877,394675,25.0343,0,626.7161764900001,10.423481131460248,12.885817920399928,4.245442350775706,0.0,5628.516804001538,1,1,1
MNE,Montenegro,42.5,19.3,0,Europe,Southeast Europe,8749.02375172644,110.0161238696,65.1686759904159,3.70351082097405,626753,42.5,0,1806.25,9.076697401895863,13.34830780260661,4.709675450849596,0.0,7169.605130179423,3,0,1
ARG,Argentina,-34.0,-64.0,0,Americas,South America,9955.97478680428,32.6306150458499,91.8567844513802,5.3185559967348,44973465,34.0,0,1156.0,9.205928131021869,17.621583207146163,3.5154368141918395,0.0,2997.3433727825977,1,0,1
CUB,Cuba,21.5,-80.0,0,Americas,Caribbean,9232.26115935183,22.8208911354416,77.0728225708008,3.56732632295441,11202846,21.5,1,462.25,9.130459276839085,16.231678411128428,3.1705629744549784,0.0,1758.870493389451,1,0,1
CYM,Cayman Islands,19.3133,-81.2546,0,Americas,Caribbean,88254.2902486867,114.83853985004,100.0,0.414317120759666,67327,19.3133,1,373.0035568900001,11.387977588329882,11.117316623885428,4.752197323672259,0.0,11483.853985004,1,1,1
KAZ,Kazakhstan,48.0196,66.9237,1,Asia,Central Asia,9457.12614657136,64.8586165517565,59.0832474269546,4.46633595812751,19209555,48.0196,0,2305.88198416,9.154523825889365,16.770918369458208,4.187510270832609,4.46633595812751,3832.057689497402,2,0,1
RUS,Russia,60.0,100.0,0,Europe,Eastern Europe,11447.701171875,49.2287536619033,74.6222859951926,3.53030291392166,145453291,60.0,0,3600.0,9.345544217809904,18.795365568981588,3.916587644830251,0.0,3673.5621349454327,3,0,1
IND,India,20.0,77.0,0,Asia,Southern Asia,2041.42863698585,39.9054035306442,33.8139578818147,16.7555683032837,1389030312,20.0,1,400.0,7.621405153982032,21.05187172337467,3.7112621699859227,0.0,1349.3596342420226,2,0,0
COD,DR Congo,0.0,25.0,0,Africa,Middle Africa,504.00419142286,60.9143523742792,42.8747090907476,13.1512157041087,92947442,0.0,1,0.0,6.222584584351987,18.347544751580905,4.125752016696007,0.0,2611.685137498511,0,0,0
MUS,Mauritius,-20.28333333,57.55,0,Africa,Eastern Africa,11568.2533399824,127.940899064133,39.2509492806955,2.66862745852887,1265985,20.28333333,1,411.41361097588896,9.356019844226378,14.051361033274834,4.8593541525907,0.0,5021.8017400928675,0,0,1
UKR,Ukraine,49.0,32.0,0,Europe,Eastern Europe,3619.86157226563,90.5112342910763,69.3527648708735,8.96518101437243,44957458,49.0,0,2401.0,8.194191064383034,17.621227222805405,4.51646174388218,0.0,6277.204349961557,3,0,1
TJK,Tajikistan,39.0,71.0,1,Asia,Central Asia,871.022372934846,56.0450159145896,26.1300735473633,20.8670733588,9529966,39.0,0,1521.0,6.769667663014971,16.069951707943012,4.04384070903137,20.8670733588,1464.4603878113728,2,0,0
MYS,Malaysia,2.5,112.5,0,Asia,South-Eastern Asia,10920.191763972,123.028562027943,74.8377707734042,7.24131401562151,33440596,2.5,1,6.25,9.298368809948004,17.325281168988454,4.820511878016122,0.0,9207.183323628738,2,0,1
ATG,Antigua and Barbuda,17.05,-61.8,0,Americas,Caribbean,18896.3721832248,137.537783631991,24.708337524045,1.64671204635507,91364,17.05,1,290.70250000000004,9.84672523464584,11.422606806768524,4.931143094429756,0.0,3398.3299802883057,1,1,1
CAF,Central African Republic,7.0,21.0,1,Africa,Middle Africa,449.228467602439,50.0658000014868,41.7800430407332,28.3418324649438,4944703,7.0,1,49.0,6.107531594859889,15.413827460567894,3.9331149972441093,28.3418324649438,2091.7512789308585,0,0,0
ISR,Israel,31.47,35.13,0,Asia,Western Asia,44250.6313628073,56.325348642584,91.6154002002652,1.34643940764737,9054000,31.47,0,990.3608999999999,10.697624918420328,16.018717206978042,4.048742910584767,0.0,5160.269357309797,2,1,1
HND,Honduras,15.0,-86.5,0,Americas,Central America,2502.32744328073,99.4599779937589,56.3791561389766,10.6380334094751,9943633,15.0,1,225.0,7.824976555077984,16.11244300481422,4.609759419267116,0.0,5607.469628889309,1,0,1
SLE,Sierra Leone,8.5,-11.5,0,Africa,Western Africa,843.712517809977,37.5619530302056,42.7018444914441,34.547180986475,7731991,8.5,1,72.25,6.737811817863671,15.86087695531589,3.6522661175833107,0.0,1603.964677090767,0,0,0
TUN,Tunisia,34.0,9.0,0,Africa,Northern Africa,3528.87213306798,102.332614725789,68.8206382576031,9.76625873287072,11875081,34.0,0,1156.0,8.168733589827553,16.289952728914347,4.637953054520343,0.0,7042.595859998192,0,0,1
LTU,Lithuania,56.0,24.0,0,Europe,Northern Europe,19608.7943945553,148.374996011818,67.245735168457,3.12404744403716,2811089,56.0,0,3136.0,9.883733438185496,14.849082510717947,5.006459895986649,0.0,9977.585687431578,3,1,1
IRQ,Iraq,33.0,44.0,0,Asia,Western Asia,5671.8568632942,68.9899384202806,69.8683395385742,3.77000825306199,41192171,33.0,0,1089.0,8.643271832226084,17.53375877199101,4.248351494865093,0.0,4820.21244229349,2,0,1
CHE,Switzerland,47.0,8.0,1,Europe,Western Europe,84121.9310304414,124.127612180467,80.7792907322229,0.647745526895984,8575280,47.0,0,2209.0,11.340022585216989,15.964394203544403,4.829334113984641,0.647745526895984,10026.940472222557,3,1,1
CHL,Chile,-30.0,-71.0,0,Americas,South America,14495.716721687,57.6117545680829,88.1273685623538,3.987812171379,19197744,30.0,0,900.0,9.581608486265589,16.770303330094343,4.070935266366528,0.0,5077.172328345312,1,1,1
VNM,Vietnam,16.16666666,107.83333333,0,Asia,South-Eastern Asia,3440.90025375434,164.704215031408,34.6239134999511,11.7845285540387,97173776,16.16666666,1,261.36111089555556,8.143488417802308,18.39201143879097,5.11020436183625,0.0,5702.704494324817,2,0,0
BGD,Bangladesh,24.0,90.0,0,Asia,Southern Asia,2129.79896954606,31.5780544912404,30.8228396343012,11.9753231358984,164913055,24.0,0,576.0,7.663782873754545,18.920928953589563,3.4836388865732313,0.0,973.3253095467277,2,0,0
